Producto,Canal,Ubicacion,Fecha,Cantidad
P003,CNL_INDUSTRIAL,DC_3001,01/01/2023,0
P002,CNL_TRANSPORTE,DC_3001,01/01/2023,18842
P001,CNL_RETAIL,DC_3001,01/01/2023,0
P001,CNL_GOBIERNO,DC_3001,01/01/2023,0
P002,CNL_GOBIERNO,DC_3001,01/01/2023,9181
P003,CNL_GOBIERNO,DC_3001,01/01/2023,0
P001,CNL_INDUSTRIAL,DC_3002,01/01/2023,0
P001,CNL_TRANSPORTE,DC_3002,01/01/2023,0
P002,CNL_TRANSPORTE,DC_3002,01/01/2023,0
P001,CNL_RETAIL,DC_3002,01/01/2023,0
P002,CNL_RETAIL,DC_3002,01/01/2023,0
P002,CNL_GOBIERNO,DC_3002,01/01/2023,0
P001,CNL_INDUSTRIAL,DC_3003,01/01/2023,0
P003,CNL_INDUSTRIAL,DC_3003,01/01/2023,0
P001,CNL_TRANSPORTE,DC_3003,01/01/2023,0
P003,CNL_TRANSPORTE,DC_3003,01/01/2023,0
P001,CNL_RETAIL,DC_3003,01/01/2023,0
P002,CNL_RETAIL,DC_3003,01/01/2023,0
P003,CNL_RETAIL,DC_3003,01/01/2023,780
P001,CNL_INDUSTRIAL,DC_3004,01/01/2023,0
P003,CNL_INDUSTRIAL,DC_3004,01/01/2023,0
P003,CNL_TRANSPORTE,DC_3004,01/01/2023,0
P001,CNL_RETAIL,DC_3004,01/01/2023,0
P001,CNL_GOBIERNO,DC_3004,01/01/2023,0
P002,CNL_GOBIERNO,DC_3004,01/01/2023,0
P001,CNL_TRANSPORTE,DC_3005,01/01/2023,0
P002,CNL_RETAIL,DC_3005,01/01/2023,0
P003,CNL_RETAIL,DC_3005,01/01/2023,0
P001,CNL_INDUSTRIAL,DC_3006,01/01/2023,0
P003,CNL_TRANSPORTE,DC_3006,01/01/2023,0
P001,CNL_RETAIL,DC_3006,01/01/2023,0
P002,CNL_RETAIL,DC_3006,01/01/2023,0
P003,CNL_RETAIL,DC_3006,01/01/2023,0
P001,CNL_GOBIERNO,DC_3006,01/01/2023,0
P001,CNL_TRANSPORTE,DC_3007,01/01/2023,0
P002,CNL_TRANSPORTE,DC_3007,01/01/2023,0
P001,CNL_RETAIL,DC_3007,01/01/2023,0
P002,CNL_GOBIERNO,DC_3007,01/01/2023,0
P002,CNL_INDUSTRIAL,DC_3008,01/01/2023,0
P001,CNL_RETAIL,DC_3008,01/01/2023,0
P001,CNL_GOBIERNO,DC_3008,01/01/2023,0
P003,CNL_GOBIERNO,DC_3008,01/01/2023,0
P001,CNL_INDUSTRIAL,DC_3009,01/01/2023,0
P002,CNL_INDUSTRIAL,DC_3009,01/01/2023,0
P003,CNL_INDUSTRIAL,DC_3009,01/01/2023,0
P002,CNL_TRANSPORTE,DC_3009,01/01/2023,0
P003,CNL_TRANSPORTE,DC_3009,01/01/2023,1326
P003,CNL_RETAIL,DC_3009,01/01/2023,0
P002,CNL_INDUSTRIAL,DC_3010,01/01/2023,0
P001,CNL_TRANSPORTE,DC_3010,01/01/2023,0
P002,CNL_TRANSPORTE,DC_3010,01/01/2023,0
P003,CNL_TRANSPORTE,DC_3010,01/01/2023,0
P002,CNL_RETAIL,DC_3010,01/01/2023,0
P001,CNL_GOBIERNO,DC_3010,01/01/2023,0
P002,CNL_GOBIERNO,DC_3010,01/01/2023,0
P001,CNL_INDUSTRIAL,DC_3011,01/01/2023,0
P002,CNL_TRANSPORTE,DC_3011,01/01/2023,0
P003,CNL_TRANSPORTE,DC_3011,01/01/2023,0
P001,CNL_RETAIL,DC_3011,01/01/2023,0
P003,CNL_RETAIL,DC_3011,01/01/2023,0
P001,CNL_INDUSTRIAL,DC_3012,01/01/2023,0
P003,CNL_RETAIL,DC_3012,01/01/2023,0
P002,CNL_GOBIERNO,DC_3012,01/01/2023,0
P003,CNL_GOBIERNO,DC_3012,01/01/2023,0
P002,CNL_INDUSTRIAL,DC_3013,01/01/2023,0
P003,CNL_INDUSTRIAL,DC_3013,01/01/2023,0
P001,CNL_TRANSPORTE,DC_3013,01/01/2023,3448
P002,CNL_TRANSPORTE,DC_3013,01/01/2023,10060
