Producto,Canal,Ubicacion,Fecha,Cantidad
AGUA EMBOTELLADA 600 ML,DETALLE,default,01/01/2023,0.0
AGUA EMBOTELLADA 600 ML,DETALLE,default,05/01/2023,0.0
AGUA EMBOTELLADA 600 ML,DETALLE,default,01/01/2024,0.0
AGUA EMBOTELLADA 600 ML,OTROS,default,01/01/2022,0.0
AGUA EMBOTELLADA 600 ML,OTROS,default,02/01/2022,0.0
AGUA EMBOTELLADA 600 ML,OTROS,default,03/01/2022,0.0
AGUA EMBOTELLADA 600 ML,OTROS,default,04/01/2022,0.0
AGUA EMBOTELLADA 600 ML,OTROS,default,05/01/2022,0.0
AGUA EMBOTELLADA 600 ML,OTROS,default,06/01/2022,0.0
AGUA EMBOTELLADA 600 ML,OTROS,default,07/01/2022,0.0
AGUA EMBOTELLADA 600 ML,OTROS,default,08/01/2022,0.0
AGUA EMBOTELLADA 600 ML,OTROS,default,09/01/2022,0.0
AGUA EMBOTELLADA 600 ML,OTROS,default,01/01/2023,0.0
AGUA EMBOTELLADA 600 ML,OTROS,default,02/01/2023,0.0
AGUA EMBOTELLADA 600 ML,OTROS,default,03/01/2023,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,01/01/2022,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,02/01/2022,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,03/01/2022,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,04/01/2022,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,05/01/2022,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,06/01/2022,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,07/01/2022,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,08/01/2022,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,09/01/2022,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,11/01/2022,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,12/01/2022,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,01/01/2023,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,02/01/2023,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,03/01/2023,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,04/01/2023,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,05/01/2023,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,06/01/2023,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,07/01/2023,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,08/01/2023,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,09/01/2023,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,11/01/2023,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,12/01/2023,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,01/01/2024,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,02/01/2024,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,03/01/2024,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,04/01/2024,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,05/01/2024,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,06/01/2024,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,07/01/2024,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,08/01/2024,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,09/01/2024,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,11/01/2024,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,12/01/2024,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,01/01/2025,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,02/01/2025,0.0
AGUA EMBOTELLADA 600 ML,TIENDAS,default,03/01/2025,0.0
ALFA SUERO EN POLVO,B2B,default,01/01/2022,11000.0
ALFA SUERO EN POLVO,B2B,default,05/01/2022,18000.0
ALFA SUERO EN POLVO,B2B,default,06/01/2022,17000.0
ALFA SUERO EN POLVO,B2B,default,07/01/2022,32000.0
ALFA SUERO EN POLVO,B2B,default,08/01/2022,42000.0
ALFA SUERO EN POLVO,B2B,default,09/01/2022,12000.0
ALFA SUERO EN POLVO,B2B,default,11/01/2022,24000.0
ALFA SUERO EN POLVO,B2B,default,06/01/2023,12000.0
ALFA SUERO EN POLVO,B2B,default,07/01/2023,12000.0
ALFA SUERO EN POLVO,B2B,default,09/01/2023,21000.0
ALFA SUERO EN POLVO,B2B,default,01/01/2024,22100.0
ALFA SUERO EN POLVO,B2B,default,04/01/2024,10000.0
ALFA SUERO EN POLVO,B2B,default,05/01/2024,22000.0
ALFA SUERO EN POLVO,B2B,default,06/01/2024,7050.0
ALFA SUERO EN POLVO,B2B,default,01/01/2025,2600.0
ALIM LIQ FERMENTADO DURAZNO PAST PQ C/6 220ML,GEPP,default,04/01/2025,3041.28
ALIMENTOS CAFETERIA,DETALLE,default,01/01/2023,0.0
ALIMENTOS CAFETERIA,DETALLE,default,05/01/2023,0.0
ALIMENTOS CAFETERIA,DETALLE,default,06/01/2023,0.0
ALIMENTOS CAFETERIA,DETALLE,default,07/01/2023,0.0
ALIMENTOS CAFETERIA,DETALLE,default,08/01/2023,0.0
ALIMENTOS CAFETERIA,DETALLE,default,09/01/2023,0.0
ALIMENTOS CAFETERIA,DETALLE,default,01/01/2024,0.0
ALIMENTOS CAFETERIA,DETALLE,default,02/01/2024,0.0
ALIMENTOS CAFETERIA,DETALLE,default,07/01/2024,0.0
ALIMENTOS CAFETERIA,DETALLE,default,08/01/2024,0.0
ALIMENTOS CAFETERIA,DETALLE,default,02/01/2025,0.0
