*DmdUnit,*DmdGroup,*Loc,*HistStream,Dur,*Event,Qty,*StartDate,*Type,U_CLASE_ABC,Marca,Retornabilidad,U_SUB_TERRITORIO,U_TERRITORIO,U_ZONA,U_ESTATUS,U_ACTIVO
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,731,22/07/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,426,29/07/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,390,05/08/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,294,12/08/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,Cleanse History,-230,12/08/2024,2,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,852,19/08/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,Cleanse History,328,19/08/2024,2,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,556,26/08/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,52,01/01/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,131,08/01/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,87,15/01/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,62,22/01/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,75,29/01/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,101,05/02/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,76,12/02/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,62,19/02/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,84,26/02/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,53,04/03/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,108,11/03/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,46,18/03/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,89,25/03/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,74,01/04/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
