*DmdUnit,*DmdGroup,*Loc,*StartDate,Qty,*Event
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,27/05/2024,70,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,03/06/2024,86,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,10/06/2024,111,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,17/06/2024,88,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,24/06/2024,99,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,01/07/2024,152,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,08/07/2024,75,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,15/07/2024,125,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,22/07/2024,99,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,29/07/2024,73,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,05/08/2024,154,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,12/08/2024,76,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,19/08/2024,98,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,26/08/2024,107,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,01/01/2024,27,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,08/01/2024,18,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,15/01/2024,36,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,22/01/2024,19,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,29/01/2024,22,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,05/02/2024,16,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,12/02/2024,15,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,19/02/2024,25,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,26/02/2024,36,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,04/03/2024,35,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,11/03/2024,25,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,18/03/2024,29,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,25/03/2024,38,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,01/04/2024,23,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,08/04/2024,26,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,15/04/2024,30,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,22/04/2024,25,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,29/04/2024,32,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,06/05/2024,18,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,13/05/2024,37,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,20/05/2024,28,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,27/05/2024,34,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,03/06/2024,46,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,03/06/2024,16.33333333,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,10/06/2024,28,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,17/06/2024,24,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,24/06/2024,27,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,01/07/2024,36,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,08/07/2024,25,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,15/07/2024,28,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,22/07/2024,18,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,29/07/2024,31,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,05/08/2024,22,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,12/08/2024,15,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,19/08/2024,30,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,26/08/2024,30,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,01/01/2024,94,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,08/01/2024,78,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,15/01/2024,226,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,15/01/2024,125.6666667,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,22/01/2024,128,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,29/01/2024,101,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,05/02/2024,67,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,12/02/2024,76,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,19/02/2024,124,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,26/02/2024,123,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,04/03/2024,104,AGGREGATED WEEKLY
