Producto,Desc_Producto,Familia_Producto,Categoria,Segmentacion_Producto,Ubicacion,Desc_Ubicacion,Origen_Abasto,OverrideClasificacionABCD,Override_Min_Politica_Inventarios,Override_Max_Politica_Inventarios,Medida_Override,Tipo_Override,MargenUnitario,LeadTime_Abasto_Dias,Frecuencia_Revision_Dias,Fill_Rate,MOQ,Tamano_Lote,Unidades_Pallet,Costo_Unidad,Tolerancia_Vida_Util_Dias,Vida_Util_Dias,Unidad_Medida_UOM,Presentacion,Desc_Empaque_UOM_Base,Unidades_Empaque,Cantidad_Demanda_Indirecta,Nivel_OA
2382,ZAPATO CDA D001 NEGRO 23.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,379.5,0,0,,PAR,PAR,,,
1577,ZAPATO CDA D001 NEGRO 24,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,379.5,0,0,,PAR,PAR,,,
2383,ZAPATO CDA D001 NEGRO 24.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,379.5,0,0,,PAR,PAR,,,
1578,ZAPATO CDA D001 NEGRO 25,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,379.5,0,0,,PAR,PAR,,,
2384,ZAPATO CDA D001 NEGRO 25.5,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,379.5,0,0,,PAR,PAR,,,
1579,ZAPATO CDA D001 NEGRO 26,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,379.5,0,0,,PAR,PAR,,,
1812,ZAPATO CDA D001 VINO 23,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
1813,ZAPATO CDA D001 VINO 23.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
1814,ZAPATO CDA D001 VINO 24,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
1815,ZAPATO CDA D001 VINO 24.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
