Producto,Desc
BMX_1727,COCA-COLALIGHT235MLNRLAT8MPK
BMX_2,COCA-COLA2.50LRTPET8
BMX_310,COCA-COLA2.50LNRPET8
BMX_6,COCA-COLA355MLRTVID24
BMX_997,SCLLECHELIGHTDES1.00LNRTPK6
